Quarter,Samsung,Huawei*,Apple,Xiaomi*,OPPO,LG*,Lenovo*,ZTE*,vivo,Sony*,RIM*,HTC*,Nokia*,Transsion,Others
Q2 '22,21.80,-,15.60,13.80,8.60,-,-,-,8.70,-,-,-,-,-,31.50
Q3 '22,21.20,-,17.20,13.40,8.60,-,-,-,8.60,-,-,-,-,-,31
Q4 '22,19.40,-,24.10,11,8.40,-,-,-,7.60,-,-,-,-,-,29.40
Q1 '23,22.50,-,20.50,11.40,10.20,-,-,-,7.60,-,-,-,-,-,27.70
Q2 '23,20.20,-,16,12.50,9.60,-,-,-,-,-,-,-,-,9.50,32.20
Q3 '23,19.70,-,17.70,13.70,8.90,-,-,-,-,-,-,-,-,8.60,31.40
Q4 '23,16.30,-,24.70,12.50,-,-,-,-,7.40,-,-,-,-,8.60,30.50
Q1 '24,20.80,-,17.30,14.10,8.70,-,-,-,-,-,-,-,-,9.90,29.30
Q2 '24,18.90,-,15.80,14.80,9,-,-,-,9.10,-,-,-,-,-,32.30
Q3 '24,18.30,-,17.70,13.50,9.10,-,-,-,8.50,-,-,-,-,-,32.80
Q4 '24,15.60,-,23.20,12.90,-,-,-,-,8.20,-,-,-,-,8.20,32
